DateTime,AddedIPs,RemovedIPs
1583563921,80,80
1583564522,79,79
1583565722,80,80
1583566321,80,80
1583567521,78,78
1583568121,80,80
1583569321,79,79
1583570521,80,80
1583571721,80,80
1583572921,80,80
1583574122,76,76
1583574722,80,80
1583575322,80,80
1583575921,80,80
1583576521,80,80
1583577722,80,80
1583578921,80,80
1583579521,80,80
1583580121,80,80
1583580722,80,80
1583581921,80,80
1583582521,80,80
1583583121,80,80
1583583722,80,80
1583584321,80,80
1583584921,80,80
1583586121,79,79
1583586721,80,80
1583587321,80,80
1583588522,77,77
1583589721,80,80
1583590921,80,80
1583592122,80,80
1583592721,80,80
1583593321,80,80
1583594521,79,79
1583595121,25,25
1583595721,79,79
1583596321,80,80
1583596922,80,80
1583597522,80,80
1583598121,69,69
1583599321,46,46
1583599921,80,80
1583600522,80,80
1583601721,79,79
1583602321,28,28
1583602921,27,27
1583603521,27,27
1583604121,80,80
1583604721,80,80
1583605321,80,80
1583606522,80,80
1583607121,80,80
1583607721,80,80
1583608921,78,78
1583610122,39,39
1583611322,80,80
1583612522,79,79
1583613121,80,80
1583613721,80,80
1583614921,77,77
1583616121,80,80
1583616721,80,80
1583617321,80,80
1583618522,79,79
1583619721,80,80
1583620321,80,80
1583620921,80,80
1583621522,80,80
1583622121,80,80
1583622721,80,80
1583623322,80,80
1583624521,80,80
1583625722,80,80
1583626921,80,80
1583627521,80,80
1583628121,80,80
1583629321,80,80
1583629922,30,30
1583630521,80,80
1583631721,80,80
1583632321,80,80
1583634121,80,80
1583635321,80,80
1583636521,80,80
1583637121,49,49
1583637721,80,80
1583638322,77,77
1583638922,27,27
1583640121,80,80
1583641321,80,80
1583642521,22,22
1583643721,80,80
1583644921,80,80
1583646121,80,80
1583647322,80,80
1583648521,79,79
1583649721,80,80
1583650921,80,80
1583652121,80,80
1583653321,80,80
1583654521,80,80
1583655721,79,79
1583656921,80,80
1583658121,78,78
1583659321,80,80
1583660521,80,80
1583661722,80,80
1583662321,80,80
1583662921,80,80
1583664121,80,80
1583664721,80,80
1583665321,78,78
1583665921,78,78
1583667121,32,32
1583668321,80,80
1583668921,80,80
1583669521,80,80
1583670721,77,77
1583671922,80,80
1583672521,80,80
1583673121,80,80
1583673721,53,53
1583674321,80,80
1583674921,80,80
1583675521,80,80
1583676121,80,80
1583676722,80,80
1583677321,80,80
1583678522,80,80
1583679721,80,80
1583680321,80,80
1583680921,80,80
1583681521,80,80
1583682121,80,80
1583682722,80,80
1583683322,80,80
1583684522,80,80
1583685121,80,80
1583685721,80,80
1583686922,80,80
1583687521,80,80
1583688121,80,80
1583689321,80,80
1583689921,80,80
1583690521,80,80
1583691722,80,80
1583692321,80,80
1583692921,80,80
1583694122,80,80
1583695321,80,80
1583696521,76,76
1583697721,80,80
1583698921,80,80
1583700121,80,80
1583700721,79,79
1583701921,80,80
1583702522,80,80
1583703721,80,80
1583704921,80,80
1583706121,80,80
1583706721,80,80
1583707921,79,79
1583708522,56,56
1583709122,79,79
1583710321,80,80
1583710921,80,80
1583712122,80,80
1583713321,80,80
1583714522,80,80
1583715721,80,80
1583716321,80,80
1583716921,34,34
1583718121,78,78
1583719321,79,79
1583720521,80,80
1583721721,80,80
1583722921,80,80
1583724121,80,80
1583725321,80,80
1583726522,79,79
1583727721,80,80
1583728921,80,80
1583730121,80,80
1583730721,80,80
1583731322,80,80
1583732521,80,80
1583733721,80,80
1583734321,80,80
1583734922,80,80
1583735521,80,80
1583736122,80,80
1583737321,80,80
1583738522,80,80
1583739722,80,80
1583740922,80,80
1583741522,80,80
1583742721,68,68
1583743321,80,80
1583743921,80,80
1583744522,80,80
1583745121,80,80
1583746322,80,80
1583746922,80,80
1583748121,79,79
1583748721,80,80
1583749321,80,80
1583750522,79,79
1583751721,80,80
1583752321,76,76
1583752921,69,69
1583753521,80,80
1583754122,80,80
1583755321,77,77
1583756522,80,80
1583757721,79,79
1583758321,80,80
1583758922,18,18
1583760122,80,80
1583761321,80,80
1583762522,80,80
1583763122,80,80
1583763721,80,80
1583764921,80,80
1583766121,80,80
1583767321,78,78
1583768521,79,79
1583769121,80,80
1583769721,80,80
1583770321,80,80
1583770921,33,33
1583772121,74,74
1583772721,80,80
1583774521,79,79
1583775121,80,80
1583775721,80,80
1583776921,80,80
1583778121,80,80
1583779321,80,80
1583779921,80,80
1583780521,80,80
1583781122,80,80
1583782321,80,80
1583782921,80,80
1583783521,80,80
1583784121,80,80
1583785321,79,79
1583786522,40,40
1583787721,80,80
1583788321,80,80
1583788921,80,80
1583790122,80,80
1583790721,80,80
1583792521,79,79
1583793721,80,80
1583794322,79,79
1583794921,80,80
1583796121,80,80
1583797321,80,80
1583798521,80,80
1583799121,80,80
1583799721,79,79
1583800921,80,80
1583802121,80,80
1583802722,80,80
1583803321,80,80
1583804521,80,80
1583805721,80,80
1583806921,80,80
1583807521,80,80
1583808121,80,80
1583808721,79,79
1583809322,80,80
1583810521,76,76
1583811122,80,80
1583812321,80,80
1583812921,80,80
1583814121,29,29
1583815322,31,31
1583816521,76,76
1583817121,74,74
1583818321,80,80
1583818921,80,80
1583819521,80,80
1583821321,79,79
1583822521,80,80
1583823721,80,80
1583824921,80,80
1583825521,80,80
1583826721,80,80
1583827321,80,80
1583828521,80,80
1583829721,80,80
1583830321,80,80
1583830922,80,80
1583831521,80,80
1583832721,80,80
1583833921,80,80
1583834521,80,80
1583835722,80,80
1583836321,38,38
1583836921,73,73
1583838121,77,77
1583838721,36,36
1583839322,80,80
1583840521,80,80
1583841721,80,80
1583842321,80,80
1583842921,20,20
1583843521,80,80
1583844121,80,80
1583845921,80,80
1583846521,80,80
1583847121,80,80
1583847721,80,80
1583848322,80,80
1583848921,80,80
1583849521,80,80
1583850721,80,80
1583851321,80,80
1583852522,80,80
1583853121,80,80
1583854322,80,80
1583854921,80,80
1583856121,80,80
1583856721,80,80
1583857322,80,80
1583859121,77,77
1583859722,80,80
1583860322,80,80
1583860921,80,80
1583862121,80,80
1583862722,80,80
1583863321,80,80
1583865121,80,80
1583865722,80,80
1583866321,80,80
1583866922,79,79
1583868121,80,80
1583868721,80,80
1583869321,20,20
1583870521,80,80
1583871721,79,79
1583872321,80,80
1583872921,80,80
1583874121,75,75
1583874721,80,80
1583875321,80,80
1583875921,80,80
1583877121,78,78
1583877721,80,80
1583878321,80,80
1583878921,80,80
1583880122,79,79
1583880721,80,80
1583881321,80,80
1583881921,80,80
1583883121,80,80
1583884321,80,80
1583884921,80,80
1583885521,80,80
1583886121,80,80
1583886722,80,80
1583887322,80,80
1583887921,80,80
1583889122,80,80
1583889721,80,80
1583890921,80,80
1583892121,80,80
1583893321,80,80
1583894522,80,80
1583895721,80,80
1583896321,80,80
1583897521,80,80
1583898121,80,80
1583899322,80,80
1583899921,80,80
1583900521,75,75
1583901722,80,80
1583902921,80,80
1583903521,80,80
1583904722,80,80
1583905321,80,80
1583906521,79,79
1583907122,80,80
1583908321,80,80
1583908921,80,80
1583909522,80,80
1583911321,80,80
1583911921,80,80
1583912521,80,80
1583913121,78,78
1583914921,78,78
1583915521,80,80
1583916121,80,80
1583917321,80,80
1583917921,80,80
1583918521,80,80
1583919721,77,77
1583920322,43,43
1583921522,80,80
1583922121,79,79
1583922721,21,21
1583923321,79,79
1583923921,68,68
1583924521,21,21
1583925121,80,80
1583926321,77,77
1583926921,80,80
1583928121,80,80
1583928721,80,80
1583929321,47,47
1583931121,29,29
1583931721,11,11
1583932921,80,80
1583933521,79,79
1583934122,80,80
1583934721,80,80
1583935321,80,80
1583936522,66,66
1583937122,79,79
1583937721,80,80
1583938921,80,80
1583940121,80,80
1583941321,78,78
1583942521,80,80
1583943721,79,79
1583944921,80,80
1583946122,79,79
1583947321,80,80
1583947921,80,80
1583949121,80,80
1583949721,80,80
1583950321,63,63
1583951521,80,80
1583952121,80,80
1583953321,79,79
1583953921,80,80
1583954521,35,35
1583955121,80,80
1583955721,80,80
1583956921,80,80
1583958721,80,80
1583959321,32,32
1583960522,80,80
1583961121,80,80
1583962322,80,80
1583962922,80,80
1583963521,80,80
1583964121,80,80
1583964721,37,37
1583965921,79,79
1583966521,80,80
1583967721,80,80
1583968921,80,80
1583969521,80,80
1583970722,80,80
1583971321,80,80
1583971922,80,80
1583972521,80,80
1583973121,80,80
1583974321,80,80
1583975521,79,79
1583976122,80,80
1583976721,80,80
1583977321,80,80
1583978521,80,80
1583979121,80,80
1583980321,80,80
1583980921,80,80
1583981521,80,80
1583983321,80,80
1583984522,80,80
1583985721,80,80
1583986922,80,80
1583988122,80,80
1583989321,80,80
1583990522,78,78
1583991722,80,80
1583992921,70,70
1583994121,80,80
1583995321,80,80
1583995921,80,80
1583997121,80,80
1583997721,80,80
1583998921,80,80
1583999522,80,80
1584001321,78,78
1584001921,53,53
1584003121,58,58
1584003721,30,30
1584004921,80,80
1584006721,72,72
1584007322,80,80
1584007922,80,80
1584009122,79,79
1584010321,80,80
1584010921,80,80
1584012122,80,80
