DateTime,AddedIPs,RemovedIPs
1582958532,0,1
1582959643,0,1
1582960820,1,0
1582965732,0,2
1582968493,1,0
1582970113,3,1
1582971315,1,1
1582976113,1,1
1582977312,0,1
1582978514,0,1
1582979715,1,0
1582980912,1,0
1582983314,1,1
1582987963,1,0
1582994531,2,0
1582996222,0,1
1582998973,1,0
1583000114,0,1
1583001313,0,2
1583003324,1,2
1583007021,3,12
1583008092,2,0
1583009415,1,37
1583010613,1,74
1583011827,1,1
1583014454,1,1
1583015712,2,1
1583018054,1,1
1583021651,0,2
1583023335,3,1
1583024174,2,0
1583026934,1,0
1583028639,1,0
1583029843,1,1
1583031334,2,0
1583032516,3,2
1583034132,0,3
1583036896,1,0
1583038583,2,2
1583039652,1,0
1583042172,1,3
1583043252,1,2
1583044951,1,3
1583046852,0,1
1583048536,0,1
1583052133,0,1
1583055916,1,2
1583057413,1,0
1583059332,1,2
1583062092,3,0
1583064915,2,0
1583066490,0,1
1583067371,1,0
1583070914,1,0
1583072053,2,0
1583073798,1,1
1583079251,1,0
1583084534,2,1
1583086214,3,2
1583088134,1,1
1583090711,1,0
1583091734,1,0
1583093262,1,4
1583094912,2,2
1583097251,14,0
1583098527,3,0
1583100613,0,3
1583103371,1,1
1583104514,1,0
1583106911,2,0
1583108119,1,1
1583110512,1,0
1583111652,1,0
1583115252,4,0
1583116936,4,4
1583117771,1,0
1583118915,1,2
1583119693,1,0
1583122454,2,1
1583123292,2,0
1583125823,1,0
1583127733,1,0
1583129231,1,1
1583130713,1,1
1583134935,2,1
1583139181,0,2
1583140452,0,1
1583142146,1,1
1583144053,2,0
1583145736,0,1
1583146999,0,1
1583148492,1,0
1583149813,0,2
1583151254,2,1
1583152682,0,1
1583154493,1,0
1583156536,0,1
1583158232,1,0
1583160136,2,0
1583163732,1,0
1583165414,0,1
1583169254,0,1
1583172614,0,1
1583174534,0,1
1583176452,0,1
1583177294,1,0
1583178834,3,1
1583180117,2,0
1583180895,1,0
1583181732,1,3
1583185334,0,2
1583188936,1,1
1583190613,1,0
1583192429,1,3
1583193373,1,0
1583194518,0,3
1583196135,0,1
1583199732,0,1
1583202495,1,0
1583203724,2,2
1583205252,0,1
1583207306,1,1
1583208049,2,0
1583210430,1,1
1583212453,1,3
1583214026,1,2
1583215833,1,1
1583219656,1,1
1583220914,1,1
1583223254,0,1
1583224933,1,1
1583226851,1,0
1583228532,0,1
1583230519,1,1
1583231768,0,2
1583233458,1,1
1583235736,1,0
1583240174,0,5
1583241254,0,1
1583242935,0,4
1583247070,1,0
1583248214,0,1
1583249294,1,0
1583250615,0,1
1583252054,1,0
1583253553,1,0
1583255654,2,2
1583257332,0,1
1583260934,1,0
1583262851,2,1
1583264533,1,3
1583265828,0,12
1583267424,94,2
1583268132,1,2
1583269816,1,0
1583271736,2,1
1583273413,0,2
1583274620,2,1
1583277253,0,1
1583279775,0,3
1583280914,2,0
1583282534,2,0
1583283875,1,2
1583285114,2,0
1583288052,2,3
1583289630,2,1
1583291719,0,1
1583293333,2,4
1583296938,1,2
1583298622,0,2
1583300535,1,3
1583302066,0,1
1583303428,1,1
1583304974,2,1
1583306051,1,0
1583307321,1,0
1583311336,1,1
1583313014,9,2
1583314935,7,1
1583316157,2,0
1583317692,13,0
1583319072,12,1
1583320223,5,1
1583324052,1,0
1583327419,0,1
1583330452,0,1
1583332937,0,2
1583334613,0,1
1583337470,0,1
1583343735,1,0
1583345651,2,0
1583346911,1,1
1583348440,0,2
1583350935,0,3
1583352283,1,0
1583353821,1,1
1583354950,2,0
1583356452,2,0
1583360053,2,1
1583361736,0,2
1583363718,0,1
1583366173,1,1
1583367255,0,1
1583368497,2,2
1583370046,3,1
1583372426,1,2
1583374453,2,0
1583376975,3,0
1583378055,1,2
1583381379,1,2
1583384176,3,1
1583385315,2,0
1583386092,2,0
1583386935,1,0
1583388855,1,0
1583390533,1,3
1583393293,3,0
1583394975,1,1
1583396116,1,0
1583396892,3,0
1583397734,0,1
1583399651,0,1
1583403018,4,0
1583404931,1,3
1583411714,0,1
1583416516,0,1
1583419335,0,1
1583422829,0,2
1583426533,0,1
1583428451,1,2
1583433627,0,2
1583437229,0,92
1583438879,1,0
1583440093,0,1
1583442073,2,3
1583444536,0,2
1583447714,2,2
1583450116,1,0
1583451866,1,5
1583454913,1,2
1583456531,1,0
1583458933,0,4
1583461693,1,0
1583463014,1,1
1583464452,1,0
1583466915,0,1
1583468054,1,1
1583470571,2,1
1583474541,0,1
1583475256,1,0
1583476092,1,0
1583476933,0,4
1583479468,1,0
1583480716,1,0
1583482222,0,3
1583483292,2,0
1583484615,1,9
1583486055,0,1
1583487313,2,16
1583488421,0,2
1583489717,1,18
1583491230,1,1
1583493316,4,0
1583494091,1,0
1583494934,0,1
1583496457,1,0
1583500454,2,0
1583501295,1,0
1583502132,1,0
1583505736,1,0
1583509334,0,1
1583512825,0,1
1583517524,1,2
1583522053,2,0
1583523736,1,3
1583525426,1,1
1583526621,1,1
1583529253,0,1
1583530094,1,0
1583531771,1,3
1583535373,14,0
1583536516,1,0
1583538134,0,1
1583539815,2,4
1583541733,0,2
1583542572,1,0
1583543718,0,1
1583545228,0,1
1583547023,2,1
1583548218,0,1
1583553533,3,5
1583555295,3,0
1583556540,0,4
1583557822,0,1
1583559734,3,4
1583561653,1,0
1583563826,1,3
1583565012,0,2
1583566938,0,2
1583569693,2,0
1583571223,1,1
1583572513,0,3
1583573712,0,2
1583574820,1,1
1583579206,1,0
1583582115,1,0
1583583313,1,0
1583599337,0,1
1583600508,1,0
1583603715,1,0
1583606427,0,1
1583609421,0,1
1583610913,1,1
1583612054,0,1
1583612891,2,0
1583615346,3,0
1583617335,0,1
1583618173,1,0
1583619253,1,0
1583620514,0,1
1583625312,2,0
1583626454,0,1
1583627293,1,0
1583628913,0,1
1583630115,1,0
1583631913,3,0
1583636113,2,0
1583637317,0,2
1583639416,1,3
1583642429,1,0
1583643720,2,0
1583646133,0,2
1583649735,0,2
1583651651,0,1
1583652914,1,1
1583654439,1,1
1583656935,2,0
1583657772,1,0
1583658852,2,0
1583661313,1,1
1583663709,2,4
1583666054,1,0
1583667735,1,1
1583670620,2,2
1583672172,1,0
1583675705,0,1
1583682132,1,2
1583687422,1,2
1583689335,1,0
1583692092,1,0
1583693772,1,0
1583696114,0,1
1583697371,1,0
1583698514,0,1
1583700647,2,0
1583701816,1,1
1583703026,0,1
1583705415,1,10
1583707332,1,2
1583709255,2,1
1583711718,2,2
1583712899,1,2
1583716217,2,1
1583718135,1,0
1583719823,1,0
1583722119,1,0
1583723419,1,2
1583725335,0,2
1583726453,1,1
1583728937,2,3
1583729773,1,0
1583730854,2,0
1583732431,1,2
1583733841,1,0
1583734454,2,0
1583739739,1,1
1583741655,2,0
1583743333,3,1
1583747337,0,1
1583748437,0,2
1583756895,1,0
1583763317,0,1
1583768115,0,1
1583772138,1,2
1583773823,2,1
1583775022,1,1
1583777415,1,0
1583778621,0,1
1583780836,1,1
1583782513,0,1
1583784855,1,0
1583786074,1,0
1583787313,0,1
1583788455,1,2
1583790136,0,1
1583791815,1,1
1583795237,1,2
1583796494,2,0
1583798113,0,1
1583800828,0,3
1583802422,1,0
1583803822,1,1
1583806453,0,1
1583808132,2,3
1583811385,0,1
1583813418,1,4
1583815334,3,1
1583822116,2,2
1583823313,2,1
1583824517,0,2
1583828053,1,1
1583829319,1,2
1583830717,0,1
1583833230,0,3
1583835619,2,0
1583836830,0,3
1583840535,1,6
1583842456,2,1
1583844315,1,0
